,Index,Youtube Comment
87,22,"Hallo Gerald   ich schaue schon sehr lang deine Videos. Ich finde du bist ein wirklich klasse Mensch und gibst den Leuten echten Mehrwert fÃ¼rs Leben. Das Buch ist sicher Weltklasse und ich mÃ¶chte es Definitiv haben 
An dieser Stelle mÃ¶chte ich einmal Danke sagen fÃ¼r deine Motivation und  deine Mission die du in die Welt bringst. Mach weiter so  DankeschÃ¶n"
88,22,"Danke fÃ¼r deine direkte Art und dein Wissen  dass du uns weitergibst! freue mich auf dein Buch 
LG Cordula"
89,22,Deine Videos sind wirklich klasse! Ich finde es super  wie du komplexe Immobilienkonzepte auf so eine unterhaltsame und verstÃ¤ndliche Art prÃ¤sentierst. Deine Leidenschaft fÃ¼r das Thema ist wirklich spÃ¼rbar und hat mich sogar dazu gebracht  mich selbst intensiver mit Immobilien zu beschÃ¤ftigen. Bitte mach weiter so
90,22,"Herzlichen Dank fÃ¼r die Videoreihe - ich kann Dich bestens empfehlen und jeder Person an Herz legen  sich wirklich um seine finanzielle Zukunft selber verantwortlich zu machen und den ersten Schritt zu tun - zuhÃ¶ren  lernen und tun!
Besten Dank fÃ¼r die BÃ¼cher und die vielen Videos - immer wieder inspirierend."
91,22,Das  Buch kaufe auf jeden Fall ;  Deine Anlegertipps sind  genau so gut   wie die Krisenvorsorgertipps  von Thomas Gast. Denke mit breiter  Information und effektiver Arbeit ist die Krise zu meistern.
92,22,Ich darf mich an dieser Stelle fÃ¼r die (meistens) interessanten BeitrÃ¤ge bedanken. Die Idee eine Einzimmer-Wohnung zu verlosen somit jemanden Starthilfe im GeschÃ¤ftsleben zu geben  ist auch sehr lÃ¶blich. Manchmal braucht es eben einen Input mit unterschiedlichen Ansichten.
93,22,Du bist einzigartig! Bin ein grosser Fan! 
94,22,Hab das Buch soeben vorbestellt* Bisher waren alle deine BÃ¼cher genial*
95,22,Bin schon gespannt auf dein Buch. Das mÃ¶chte ich unbedingt haben.
96,22,Das wÃ¤re ein Traum...lebe in einer HÃ¶lle Gegend mit Multipler Sklerose. Muss jeden Tag Angst haben vor den Nachbarn und werde belÃ¤stigt. Das wÃ¤re ein toller Neuanfang 
97,22,Ich freue mich richtig auf das neue Buch und viele neue Tipps und Erfahrungen
98,22,Tolles Gewinnspiel mit unglaublichem Gewinn! Ich freue mich auch auf das neue Buch!
99,22,"Guten Morgen Gerald 
alleine bis zu Minute 1 stimme ich schon zu 100 % zu!!!
Meine persÃ¶nliche Meinung!"
100,22,Endlich ein neues Buch 
101,22,GroÃartig wie du das machst.
102,22,Es ist so einfach und doch so genial. Du bietest einer Person die Chance eine Wohnung zu gewinnen und selber musst du mit diesem Gewinnspiel nur genug Geld einnehmen  um wieder genÃ¼gend Eigenkapital fÃ¼r die nÃ¤chste Wohnung zu haben. Zack hast du kostengÃ¼nstig Werbung gemacht und deutlich mehr Leads generiert als mit einem normalen Video.
103,22,Would really be great if you could publish subtitles in English with it.
104,22,WÃ¼rde gerne auch Wohnungen kaufen  muss aber erstmal am Einkommen arbeiten... Aber ich sehe es genauso. Es lÃ¤uft alles darauf hinaus  dass jeder sich etwas aufbauen muss  sonst kommste unter die RÃ¤der....
105,22,Moin Gerald  sehr gerne teile ich solche Inhalte. WÃ¼nsche viel Erfolg. Lg JÃ¶rg
106,22,"Ich folge dir jetzt schon sehr lange und habe viele deiner Informationen umgesetzt. Was mich interessiert ist aber wo genau liegt die Wohnung. Ich will ja keinen ""Dreck"" haben. Danke dir."
107,23,"10% a Month - DO OUR 14-DAY LINKED/COPY SERVICE TRIAL: 

https://forextrading-alerts.com/account-linking-plans/ 

YOUTUBE SPECIAL APRIL 2023  50% OFF Trading Robots - https://bestforexrobots.reviews/YouTube50Discount

Join our trade linking and copying service. 14-day trial - "
108,23,I have been watching you and I think you some of the best insights out here in the wormhole of youtube! I was intersested in getting a bot/EA for my account and was hoping you could point me in the right direction  how about the one YOU use or WOULD use!? Thanks for any help!
109,23,Sir first i want investor account details of live account. I want to see results
110,23,Hi  Expert4x. Hope all is well you  I am a follower of you. I want to know  how to get the Forex EA robot? all best
111,23,What's the Udemy link? How are we to find you on Udemy.
112,23,Hello. I have a EA but doesn't work on trading could you help me. Iets works great backtest
113,23,Send me your link where I buy product
114,23,Do you have a telegram channel
115,24,
116,25,I can't believe this was 2 years ago! Man  the details! I am sure AP has upgraded more by now! Thanks so much for this masterpiece Andrew.
117,25,Hi Andrey  this is digital painting at it's best!You shoot out such a masterclass Picture.Thank you for sharing it!Ciao Jack
118,25,thank you soooo much for this!!! i was torn between weather to buy it or not for my iPad. Now i am def going to buy it. This could easily replace photoshop for me! I wanted something that could do photo manipulation and also sketch ! this is perfect!
119,25,I bow to your skill this is absolutely stunning and incredible
120,25,Very nice man. Please keep doing digital painting in Affinity Photo!
121,25,Wow  it's so spectacular!
122,25,Great video (the only one on this specific topic on the entire YouTube platform  I think). What tools or capabilities do you consider are missing in AP compared to PS when it comes to digital art? Considering very seriously switching from Adobe. Thank you so much
123,25,"This is awesome! I recently picked up both Photo and Designer  and cannot wait to get going with some digital drawing. 

Question - do you prefer to draw in Design or Photo ? And also what is your computer setup like  in terms of hardware/ specs? 
Thanks  looking forward to more videos of your work :)"
124,25,Muito bom!!
125,25,That is so satisfying to watch. Thanks for posting.
126,25,great work! 
127,25,This is great artwork but I wish you coud have an explanation of what you did for each layer.
128,25,thank you for this  I just purchased affinity for digital drawing and designing  I've used almost all the softwares
129,25,Thank you so much for posting this. I love Adobe photoshop but tired of having to pay for a subscription when I can just buy this learn and master everything again and be much happier. I could use this and clip studio both able to buy no sub. Ty!!
130,25,Utterly brilliant!
131,25,Hi Andrew! I enjoyed this tutorial a lot... I was wondering if there's a clipping mask function like in Photoshop (I searched for it but still cannot find it)
132,25,"Itâs incredible
Iâm a french people and i try to learn how to use affinity
Could you make some tutorials in the future please ?"
133,25,Beautiful.
134,25,"I'm considering getting affinity and this video is really tipping me over the edge

amazing drawing btw! this is so fucking cool"
135,25,Hello Andy  amazing job you have done here! Is it possible to achieve the same result in Affinity Designer?
136,26,Simplemente el  mejor Maestro que he tenido; es  increÃ­ble el  dominio que tiene de sus tecnologÃ­as  explicaciones  muy intuitivas  claras y sencillas de entender. Gracias por seguir actualizando su contenido con increÃ­bles proyectos de categorÃ­a profesional; no  hay no existe ningÃºn curso como  los suyos.
137,26,Increible  definitivamente el curso mas completo que mis ojos han visto
138,26,Wow una mega actualizaciÃ³n... yo hice el antiguo webcamp pero este se ve muy bien 
139,26,Muchas gracias profesor  la verdad me encantan sus cursos lo compre el aÃ±o pasado y la verdad es que no llego todavÃ­a ni a la mitad  pero este tipo de actualizaciÃ³nes emocionaba a no dejar el curso  y de igual manera el curso de JS estÃ¡ fantÃ¡stico
140,26,Excelente profe. Yo estoy reciÃ©n empezando con el segundo proyecto. La mejor inversiÃ³n que he hecho
141,26,Muchas gracias profesor  sin duda una buena actualizaciÃ³n  yo hice el anterior gdlwebcam y este esta mejor y desde cero la parte de admin  solo una duda o consulta; en la parte donde se agrega las conferencias  como se validarÃ­a  como darle un cierto rango de tiempo para elegir las conferencias por si hay muchos usuarios eligiÃ©ndolos  asÃ­ como cuando compras los boletos del cine y eliges los asientos te da tiempo para que lo elijas de lo contrario pueden aparecer alguno asientos no disponibles.
142,26,Muy buen curso la verda. Juan es un crack enseÃ±ando de forma virtual  justo voy acabando la parte de la barberia  que me esta gustando mucho y mejor aun  ya encontre a un cliente a quien venderle la app web  estoy muy contento jaja. Sigue asi Juan. TE AMO.Xd
143,26,Excelente profe!! Una pregunta.... Lo aÃ±adiÃ³ o tuvo que remover alguna secciÃ³n? Estoy ansioso por llegar a esa parte.... Se ve genial.
144,26,Gracias profesor Juan  increÃ­ble Ã©se proyecto!
145,26,Profesor Juan  tengo una pregunta  el curso de node ya se encuentra actualizado? disculpe las molestias
146,26,Hola Juan  hace un mes compre 3 de tus cursos (Laravel 9  react y css la guia completa)  y ayer que quiero ver los videos me sale error  de cualquier curso tuyo me sale ese error al reproducirlo. Udemy no me notifico de nada  me podrias ayudar?. saludos
147,26,Excelente tus cursos e aprendido mucho
148,26,Buenas  una consulta. En la web el precio es de USD 10 y en Udemy 13.99. Esta bien eso?? Gracias
149,26,Ingeniero Juan  la siguiente pregunta no tiene que ver con la actualizaciÃ³n del curso  sin embargo me gustarÃ­a saber cual ha sido su proceso para aprender inglÃ©s?  tiempo o metodologÃ­as usadas?... Gracias de antemano por su respuesta!!
150,26,Muy bueno  Gracias!
151,26,"Hola puedes darme un cupÃ³n de descuento para el curso por favor... ""Desarrollo Web Completo con HTML5  CSS3  JS AJAX PHP y MySQL"""
152,26,hola  vine aqui porque tengo un  problema con el ultimo video para el proyecto de la agencia de viajes en su curso de javascript moderno  necesito ayuda
153,26,Hermano  Â¿hasta cuando va a estar de nuevo el curso en promociÃ³n? 
154,26,Juan esta onFire!!!!
155,26,Me dan ganas de hacer este proyecto pero usando Remix
156,27,
157,28,
158,29,Where would i get my 1st ever harmonica and how much do they cost and more importantly how long does it take to master please ?
159,30,And there we have it  maestro Chris  the grand unveiling of our journey through time! Your Oscar-worthy performance  deep historical knowledge  and magical use of Excel is a sight to behold. Thanks for giving it your all  it has been a pleasure collaborating with you on this!   
160,30,The course is also mind blowing just like this awesome trailer. Thank you Prof. Chris for adding so much value to our careers. I'm indebted to you.
161,30,This is amazing  Chris. Itâs unimaginable!
162,30,What an amazing way of explaining the journey and the importance of Excel.
163,30,Awesome!!! So cinematic!!! How did you shoot that Chris? :)
164,30,I haven't laughed really hard in a while now but just watching this movie (oh sorry!) course trailer got me chuckling  smiling and laughing all at the same time. This is just EPIC...Infact epic doesn't even begin to describe this! All I can say is - THIS IS PURE GOLD!
165,30,OH MY GOD! So cool advertisement! Simply amazing job! So creative  informative and interesting. Never thought that excel course ad could be so cool.
166,30,OMG! Thanks for having our editor in this video! This is amazing!
167,30,These men took us back to 5000 years and in future in 4 minutes Dude take a bow Dear Sir...
168,30,My god its incredible and almost a new avatar of Chris.
169,30,He must be a millionaire now to make such a commercial video for his courses.
170,30,"Only one word 
Awesome Awesome Awesome............... Chris"
171,30,ahahahaha I love this! What a great way to get people involved in this!
172,30,I have never seen this level of advertisement  great job. Keep doing what you do  btw i am planning to buy your course just because of sick ad
173,30,This video is way better than some of the marvel movies to be honest  love it.
174,30,I dont watch YouTube ads but you got my attention. Great ad 
175,30,Awesome video chris
176,30,Love this video very much
177,30,i don't need the course but i'm here bro  you got my attention! lol
178,30,Omg this is like a movie trailer!
179,31,"10% a Month - DO OUR 14-DAY LINKED/COPY SERVICE TRIAL: 

https://forextrading-alerts.com/account-linking-plans/ 

YOUTUBE SPECIAL APRIL 2023  50% OFF Trading Robots - https://bestforexrobots.reviews/YouTube50Discount

Join our trade linking and copying service. 14-day trial - "
180,31,I have been watching you and I think you some of the best insights out here in the wormhole of youtube! I was intersested in getting a bot/EA for my account and was hoping you could point me in the right direction  how about the one YOU use or WOULD use!? Thanks for any help!
181,31,Sir first i want investor account details of live account. I want to see results
182,31,Hi  Expert4x. Hope all is well you  I am a follower of you. I want to know  how to get the Forex EA robot? all best
183,31,What's the Udemy link? How are we to find you on Udemy.
184,31,Hello. I have a EA but doesn't work on trading could you help me. Iets works great backtest
185,31,Send me your link where I buy product
186,31,Do you have a telegram channel
187,32,Man  I know this is a video posted two years ago  but I really appreciated it. This saved my project. Thank you!
188,32,Awesome video.  I tried several other tutorials that lead me to complete frustration as they skipped crucial steps.  Yours was spot on and now I have my video!!!!!
189,32,Nicely done. Great instructions
190,32,Nice  I used to do it on photoshop 7.0 and after effects. This is way easier.
191,32,Awesome.  Thanks for sharing your knowledge. I came here from Udemy.
192,32,"Hey Chad 


I'm one of your udemy students. "
193,32,Very Helpful Tutorial.
194,32,Thank you. Fun video.
195,32,Why your intro is of 2 to 3 fps?
196,33,
197,34,Very well explained Sir 
198,34,Informative video
199,34,Sir ap Laravel star karin YouTube pa from scratch to advanced
200,35,
201,36,
202,37,
203,38,
204,39,
205,40,
206,41,Check the description above for a link to the waitlist signup  and please consider leaving a like or sharing so that others can find this tool. Thanks!
207,41,SSSOOO handy! would come useful for quick deploys.
208,41,Sounds Cool. IJust what I need right now. I'm curious how big I can make it and what I can add. I'm awaiting access to your website and this little diddy. I should be on the list waiting.
209,41,This is pretty good.
210,42,
211,43, Sign up for Our Complete Data Science Training with 57% OFF: https://bit.ly/2XZSNVz
212,43,Just enrolled so far so 
213,43,Done!
214,44,
215,45,
216,46,
217,47,
218,48,Thank you so much for sharing Derrick. You're right. A great connection with an instructor can make the whole difference and since I came across your courses I have been hungry for graphic design knowledge and I get very excited when you release a new video. As a former video editor myself  I know how long putting these videos together take and how time consuming they can be so thank you. Thank you for sharing your experience  your knowledge and your genuine passion for teaching. Never stop learning is my motto. What's yours if you had to choose one?
219,48,Thatâs a great piece of advice Derric
220,49,
221,50,Good!
222,50,thanks
223,50,There's nothing in video to learn.
224,51,
225,52,"New to the channel and not sure what to start watching on the channel? Start here:

https://bit.ly/3qkNOwi"
226,52,"since you teamed up with editorx  how honest can be your suggestion about what cms to use for us  your viewers. 

me for example I started my journey with wordpress  I liked in the beginning but for me itâs time to try something new and I came across editorx and webflow and I would like to know which one you and everyone here would recommend."
227,52,"What do you think about bubble and similar services like Editor X and Webflow?

I don't know what to think of services like bubble for example  that give a great power to create web apps etc. but no possibility to export what you've created."
228,52,"I'll say it... ""the best YouTube channel"" "
229,52,have you shifted your direction from wordpress to editor x?
230,52,Brad hussy look like a father 
231,53,Hey Hari  its Nick  we talked about options in Mauritius
232,53,so great wouldnt be for sale
233,54,
234,55,
235,56,
236,57,
237,58,Thank you Jordan for this great tutorial  I've implemented this practise in the other modern website project you created in a different css tutorial and it worked just fine ! :) Would like to see more coming from you in the future.
238,58,Thank u for u awsm videos ....and give some videos about deployment sir..
239,59,
240,60,cara... o teu projeto Ã© provavelmente o primeiro que eu clico em rodar e rodou sem eu ter que mexer em nada  parabÃ©ns
241,60,"Muito bom o conteÃºdo.  ParabÃ©ns!!!!
Ganhou mais um inscrito."
242,60,ConteÃºdo de qualidade. Top demais!
243,60,Muito bom o conteÃºdo... Obrigado... Vou ver se tem mais conteÃºdo de Emgucv no seu canal.. Vlw..
244,60,"Muito bom  obrigado.
Para detectar objetos?"
245,60,ParabÃ©ns! Preciso fazer com que uma aplicaÃ§Ã£o minha ( atividade do mestrado ) verifique para onde o usuÃ¡rio olha na tela. Vc pode ajudar? Ã meio urgente.
246,60,Esse arquivo de treinamento pode ser gerado para identificaÃ§Ã£o de componentes personalizados ou ficamos presos aos arquivos ja existentes na plataforma EmguCV?
247,60,posso trocar o objeto por outro que nao seja rosto? prq ja assisti varios videos e pelo que eu vi  Ã© sempre rostos. Posso colocar por exemplo relogios???
248,60,Tem um grande problema de vazamento de memoria veja no inicio do video a quantidade de memoria que vai subindo em apenas alguns segundos de execuÃ§Ã£o  teria que arrumar isso para o sistema funcionar  pq se nÃ£o o programa vai travar o pc
249,60,Vc tem uma dica para fazer o reconhecimento de uma Logo ou Slide
250,60,Ola  perfeito funcionou certinho  mas quero ir mais alem  queria so fazer um sistema que comparece uma imagem guardada com a webcam  exemplo. imagem de joao  joao apareceu na webcam  o sistema fale  oi joao. algo assim.
251,60,"Opa Gil  show de bola de vÃ­deo  parabÃ©ns . Nas imagens funcionou legal  mas na Webcam nÃ£o deu certo. Depois de alguns segundos mudando o rosto de posiÃ§Ã£o para ver se detecta acontece um erro com descrito abaixo.
Estou usando o VS 2015 com .Net Framework 4.5 
An unhandled exception of type 'System.AccessViolationException' occurred in System.Drawing.dll"
252,60,Como seria em wpf? consigo fazer com que busque fotos por reconhecimento facial? oque precisaria ter salvo nas propriedades da foto para faze esse match?
253,60,na parte da linha 31 diz que nÃ£o pode colocar bitmap ali
254,61,"Write a program by using class and methods to show winner if below scenario pass in deck of cards. 

King of Spade  Queen of Heart

King of Heart  Queen of Diamond

King of Diamond  Queen of Club"
255,62,Good!
256,62,thanks
257,62,There's nothing in video to learn.
258,63,
259,64,
260,65,
261,66,
262,67,"http://inpennystock.com/webinarsignupyt - We have this new training for How to Become a Six Figure Trader in 3 Months - Free Webinar. Check it out now here to get started trading for profit today: http://inpennystock.com/webinarsignupyt

If you're interested in learning more  please check the link in the description or email us at admin@inpennystock.com !"
263,67,After a succession of payouts and compounding interest from generating high ROi in trades  it took me me a little over 8 months to hit six figures. sometimes the only challenge we have s taking the first step forward.
264,67,I like this vid. I also think it's frustrating that so many people advise you to focus on twenty percent or smaller returns. It seems like common sense to invest in cheaper stocks with higher growth potentials. The average person doesn't have a million dollars to invest  so ten to twenty percent returns isn't going to cut it if you want to do this for a living. 
265,67,you make understanding trading stocks so much less complicated then when I listen to other people on youtube speak about stocks
266,67,Great vid Tim  as always to the point.
267,67,Really happy I stumbled upon this so early in the morning. Going to stick to that 30% rule as I begin my journey.
268,67,Subscribed today and I know I'll learn so much. Thnks Tim. Its an Awesome thing you're doing
269,67,Thank you for speaking in Layman's terms for us that know next to nothing! I will be following your posts attempting to learn. Quick question  do you get a rush or surge of adrenaline ever from penny stocks? I'm easily excitable and can see this as a great investment and fun. I sold off my stocks years ago. Danka  Coca Cola  Disney.
270,67,Hey brotha  great video. I enjoy listening to you. You explain things extremely well.
271,67,Thank you for your videos I'm really catching on   I'm positive  this gives me a really good feeling :)
272,67,I love your video  it makes perfect sense and I am just getting into Trading. you don't have to but the house but you definitely have to reinvest and build your bank!  I'd rather have 35% of $100 000 and 35% of 1000
273,67,Hey  I'm a 16 year old wanting to know more about trading  I was wondering if these methods still apply to trading nowadays. Thanks for all the informational content.
274,67,I understand the process now and how to understand not being greedy  reading articles and paying close attention to what company decision. I'm not looking for big risks just something to get a beginner account to gain momentum as you said in the video to be able to risk higher bets and make possible a bigger payout because you took the time to do small but however smart trades. This isn't something im looking to make money on just this  more or less just to be able to fund my hobbies like being a car enthusiast. I just have one question for you  and can you buy and sell stock at anytime? Once you see that it has gone up 30% but you don't want to risk it and it has been an hour since you have BOUGHT or INVESTED in a certain amount of stocks (I hope im correct on that previous statement) can you sell an hour later?
275,67,learning day by day  i know nothing about stock trading so this video helps me understand somewhat to expect thanks tim
276,67,I'm 17 and have been searching for good strategies and wanted to know as much a bout penny stocks as possible. You've helped so much. Also is E-trade good for investing? What's the best company to invest through?
277,67,I'm 15 and I want to learn how to do all this penny stock marketing and this is why I watch you  you are great at what you do  are there any simulators I could start off with so I can learn without losing any money or should I just go straight for it.
278,67,"I'm 14 and I'm so confused on this but it seems really intestine and cool and I want to learn how to do this stuff 
thank you"
279,67,"Chad Hart When it comes to penny stocks  a company's underlying business is even more important than it is in exchange-traded stocks. That's because the penny stock world is home to ""shell"" companies that are legally incorporated  but don't have any business operations."
280,67,"Can barely sleep  so excited to start investing tmrw  never even considered taking advantage of the volatility of penny stocks!
Currently in 3rd year for bus management and all of my profs continuously stress not to invest surprisingly.."
281,67,"Great statement at the end of cutting your losses  reminded me of the saying ""don't catch a falling knife""."
282,68,
283,69,
284,70,I can't believe this was 2 years ago! Man  the details! I am sure AP has upgraded more by now! Thanks so much for this masterpiece Andrew.
285,70,Hi Andrey  this is digital painting at it's best!You shoot out such a masterclass Picture.Thank you for sharing it!Ciao Jack
286,70,thank you soooo much for this!!! i was torn between weather to buy it or not for my iPad. Now i am def going to buy it. This could easily replace photoshop for me! I wanted something that could do photo manipulation and also sketch ! this is perfect!
287,70,I bow to your skill this is absolutely stunning and incredible
288,70,Very nice man. Please keep doing digital painting in Affinity Photo!
289,70,Wow  it's so spectacular!
290,70,Great video (the only one on this specific topic on the entire YouTube platform  I think). What tools or capabilities do you consider are missing in AP compared to PS when it comes to digital art? Considering very seriously switching from Adobe. Thank you so much
291,70,"This is awesome! I recently picked up both Photo and Designer  and cannot wait to get going with some digital drawing. 

Question - do you prefer to draw in Design or Photo ? And also what is your computer setup like  in terms of hardware/ specs? 
Thanks  looking forward to more videos of your work :)"
292,70,Muito bom!!
293,70,That is so satisfying to watch. Thanks for posting.
294,70,great work! 
295,70,This is great artwork but I wish you coud have an explanation of what you did for each layer.
