Index,Udemy course URL,Instructor URL,Intructor name,Instructor rating,Number of reviews,Number of students,Number of courses,LinkedIN URL,Youtube URL
11,https://www.udemy.com/essential-javascript-jquery-angularjs-training/,https://www.udemy.com/user/simonsezit/,Simon Sez IT,4.5,"125,253","745,754",238,https://linkedin.com//company/simon-sez-it,https://www.youtube.com/simonsezittraining
12,https://www.udemy.com/formacao-de-precos-em-servicos/,https://www.udemy.com/user/leopoldo-almeida/,Leopoldo Almeida,4.3,721,"2,994",7,https://linkedin.com/in/leopoldoalmeida,https://www.youtube.com/capimdasabedoria
13,https://www.udemy.com/straddles-and-strangles/,https://www.udemy.com/user/hariswaminathan/,Hari Swaminathan,4.5,"19,894","122,403",31,https://linkedin.com/in/hswami/en,https://www.youtube.com/user/OptionTiger
14,https://www.udemy.com/photoshop-for-entrepreneurs/,https://www.udemy.com/user/philipebiner2/,Phil Ebiner,4.6,"391,092","2,799,825",199,https://linkedin.com/pub/philip-ebiner/13/284/67,https://www.youtube.com/videoschoolonline
15,https://www.udemy.com/trading_course/,https://www.udemy.com/user/troytaylor3/,Triumph At Trading,3.4,227,"3,913",6,https://linkedin.com//company/triumph-at-trading,https://www.youtube.com/TriumphAtTrading
16,https://www.udemy.com/mundharmonika-spielen-mein-schonstes-hobby/,https://www.udemy.com/user/schottmusicgmbhcokg/,Schott Music Group,4.4,171,"1,375",7,https://linkedin.com/company/schott-music-gmbh-&-co-kg,https://www.youtube.com/channel/UCsmXnH3b4P52304c8i0Dyrw
17,https://www.udemy.com/introduction-to-web-development/,https://www.udemy.com/user/marklassoff/,Framework Tech,4.4,"15,510","334,163",38,https://linkedin.com/in/marklassoff,https://www.youtube.com/@FrameworkTV
18,https://www.udemy.com/play-piano-2-improvise-play-standards-by-ear-aura-lee/,https://www.udemy.com/user/rosasuen/,Rosa Suen,4.5,"1,950","33,583",108,https://linkedin.com/in/pianorosa,https://www.youtube.com/PianoWithRosa/videos
19,https://www.udemy.com/basic-bookkeeping-course/,https://www.udemy.com/user/d8092a1d-7ab0-4a81-836a-e0416c1bf282/,TBAE Team Building and Events,4.2,154,544,4,https://linkedin.com/company/tbae-team-building-and-events,https://www.youtube.com/user/TBAETeamBuilding
20,https://www.udemy.com/finance-hien-minh-luu/,https://www.udemy.com/user/hienminhluu/,Hien Minh Luu,3.6,21,"1,444",,https://linkedin.com/Hien Minh Luu,https://www.youtube.com/watch?v=9c-jPqrbS6g
21,https://www.udemy.com/quick-method-investing/,https://www.udemy.com/user/eric-blair-2/,Eric Blair,3.9,"1,346","37,280",6,https://linkedin.com/https://www.linkedin.com/in/onix-fox-831069115?,https://www.youtube.com/https://www.youtube.com/channel/UCE57RvqvEYl4sELkXnz4hfg
22,https://www.udemy.com/grundlagen-der-finanziellen-unabhangigkeit/,https://www.udemy.com/user/investment-punk/,Investment Punk,3.8,249,"3,472",,https://linkedin.com/in/geraldhoerhan?authType=NAME_SEARCH&authToken=NCRl&locale=en_US&trk=tyah&trkInfo=clickedVertical%3Amy,https://www.youtube.com/channel/UCmEN5ZnsHUXIxgpLitRTmWw
23,https://www.udemy.com/create-mt4-forex-email-sound-and-notification-alerts/,https://www.udemy.com/user/alex1498/,Alex du Plooy,4.1,"4,595","19,379",7,https://linkedin.com/in/alexduplooy,https://www.youtube.com/expert4x
24,https://www.udemy.com/javascript-fundamentals-bootcamp-learn-how-to-use-javascript/,https://www.udemy.com/user/lars51/,Laurence Svekis,4.3,"61,336","960,625",326,https://linkedin.com/in/svekis,https://www.youtube.com/channel/UCgsZ8_79Eclct_VDoql_Dwg
25,https://www.udemy.com/adobe-illustrator-how-to-draw-squared-animals-icons/,https://www.udemy.com/user/andrey-bzhitskikh/,Andrey Bzhitskikh,4.4,590,"10,548",10,https://linkedin.com/andrewbzh,https://www.youtube.com/channel/UC3SdSsFLgFarf68dqJp5kCA
26,https://www.udemy.com/photoshop-psd-to-wordpress-theme-development-from-scratch/,https://www.udemy.com/user/juanpablodelatorrevaldez/,Juan Pablo De la torre Valdez,4.7,"107,236","379,822",27,https://linkedin.com/in/juanpablodelatorre,https://www.youtube.com/c/codigoconjuan
27,https://www.udemy.com/adobe-experience-manager-basics/,https://www.udemy.com/user/manueldanielgutirrezmarn/,Manuel Daniel Gutiérrez Marín,3.8,356,"1,411",,https://linkedin.com/in/drginm,https://www.youtube.com/drginm
28,https://www.udemy.com/cashflow-management-and-forecasting/,https://www.udemy.com/user/lisanewton3/,Lisa Newton,4,"4,058","21,582",110,https://linkedin.com/in/boogles/,https://www.youtube.com/mslisanewton
29,https://www.udemy.com/getchugging/,https://www.udemy.com/user/benhewlett/,Ben Hewlett,4.6,"9,242","55,605",65,https://linkedin.com/in/benhewlett,https://www.youtube.com/benhewlett
30,https://www.udemy.com/build-basic-financial-models-valuation-companies-the-easy-way/,https://www.udemy.com/user/chris-haroun/,Chris Haroun | 1.3 Million Students | #1 Best Selling Business & Finance Prof.,4.6,"223,696","1,377,327",74,https://linkedin.com/in/charoun,https://www.youtube.com/ChrisHarounVenturesCompleteBusinessEducation?sub_confirmation=1
31,https://www.udemy.com/the-magic-multiple-moving-average-forex-trading-system/,https://www.udemy.com/user/alex1498/,Alex du Plooy,4.1,"4,595","19,379",7,https://linkedin.com/in/alexduplooy,https://www.youtube.com/expert4x
32,https://www.udemy.com/become-a-professional-logo-designer/,https://www.udemy.com/user/chadneuman/,"Chad Neuman, Ph.D.",4.5,"29,354","540,163",15,https://linkedin.com/in/chadneuman/,https://www.youtube.com/c/goodcreativeacademy
33,https://www.udemy.com/bullet-proof-options-controlled-leverage-investing-secrets/,https://www.udemy.com/user/scott-brown-2/,Scott Brown,3.9,"1,301","48,103",23,https://linkedin.com/https://pr.linkedin.com/pub/dr-scott-brown/2/4b2/327,https://www.youtube.com/https://www.youtube.com/channel/UC4DQiTUAxUvrgs1bkjCU1qA
34,https://www.udemy.com/create-a-social-network-using-php-mysqli-html-css-and-jquery/,https://www.udemy.com/user/faysal-imtiaz/,Faisal Imtiaz,3.7,421,"46,639",5,https://linkedin.com/in/faisal-imtiaz-93134b148/,https://www.youtube.com/channel/UCQEdUD-xXTZU7K3FELXBnfQ
35,https://www.udemy.com/piano-for-kids-developing-your-childs-creative-abilities/,https://www.udemy.com/user/jacquelineclark/,Jackie Clark,4.1,168,"5,234",4,https://linkedin.com/mt.linkedin.com/pub/jacqueline-clark/55/145/142/,https://www.youtube.com/http://www.youtube.com/channel/UCiXIpyHJfqLPyWJZ-JNVY8Q
36,https://www.udemy.com/advanced-forex-course/,https://www.udemy.com/user/sam-eder/,Sam Eder,4.6,"1,111","41,530",,https://linkedin.com/sam-eder/43/485/a3b,https://www.youtube.com/channel/UCJAy_cwz77UqajEfWg81n8A
37,https://www.udemy.com/le-bitcoin-et-la-blockchain/,https://www.udemy.com/user/albert-academie/,Albert Académie,4.2,"1,629","6,470",73,https://linkedin.com/company/albertacademie,https://www.youtube.com/channel/UCVBtR-acAuPvUcSHPeXP_LQ
38,https://www.udemy.com/professional-bookkeeping-accounting-2-petty-cash-bank/,https://www.udemy.com/user/paulaguilfoyle/,Paula Guilfoyle CPA,4.2,"11,748","144,869",27,https://linkedin.com/in/paulaguilfoyle/,https://www.youtube.com/channel/UCQEO63TKG1moSUxAu07cP-A
39,https://www.udemy.com/complete-jquery-course/,https://www.udemy.com/user/lars51/,Laurence Svekis,4.3,"61,336","960,625",326,https://linkedin.com/in/svekis,https://www.youtube.com/channel/UCgsZ8_79Eclct_VDoql_Dwg
40,https://www.udemy.com/build-a-complete-jquery-plugin-image-pop-up-dialog/,https://www.udemy.com/user/umairjameel2/,Umair Jameel,4.2,211,"12,434",2,https://linkedin.com/in/umair-jameel-24aa5368?trk=nav_responsive_tab_profile_pic,https://www.youtube.com/https://www.youtube.com/c/AwaisMirza1
41,https://www.udemy.com/intro-to-git/,https://www.udemy.com/user/ianschoonover/,Ian Schoonover,4.2,"3,148","116,571",2,https://linkedin.com/in/iantskon,https://www.youtube.com/channel/UCqo2YWBtmFSWhuUk4WEyfGg
42,https://www.udemy.com/the-binary-institute-introductory-course-in-binary-options-trading/,https://www.udemy.com/user/drew-kelly-3/,Aedan Kelly,4.2,"2,595","52,315",4,https://linkedin.com/company/tokenmeister/,https://www.youtube.com/channel/UCBhaZa3nkwZmMovjdkPsFaw
43,https://www.udemy.com/the-complete-financial-analyst-course/,https://www.udemy.com/user/365careers/,365 Careers,4.5,"727,184","2,517,289",104,https://linkedin.com/in/nedkokrastev/,https://www.youtube.com/365datascience
44,https://www.udemy.com/capital-market-road-map/,https://www.udemy.com/user/paulsiegel2/,Starweaver Instructor Team,4.5,"23,023","213,919",22,https://linkedin.com/company/starweaver,https://www.youtube.com/c/starweavergroup
45,https://www.udemy.com/twitter-bootstrap/,https://www.udemy.com/user/marktrego/,Stone River eLearning,4.3,"92,961","982,734",495,https://linkedin.com/company/stone-river-elearning,https://www.youtube.com/stoneriverelearning
46,https://www.udemy.com/the-music-coach-online-trumpet-lesson-program/,https://www.udemy.com/user/todd-porter-2/,Todd Porter,4.3,"1,135","5,625",11,https://linkedin.com/https://www.linkedin.com/company/music-coach?trk=nav_account_sub_nav_company_admin,https://www.youtube.com/https://www.youtube.com/channel/UCWz-ZOL2t8S2vfUYo1kPeOQ
47,https://www.udemy.com/photoshop-illustrator-indesign-graphic-design-principles/,https://www.udemy.com/user/joanaduartecoutinho/,Joana Coutinho,4.4,826,"3,898",4,https://linkedin.com/in/joanaduartecoutinho,https://www.youtube.com/channel/UCUBQ4SwMi8Mnkl4cCIDB4pw
48,https://www.udemy.com/quickly-batch-export-package-logo-files-for-clients/,https://www.udemy.com/user/derrickmitchell3/,Derrick Mitchell,4.4,"19,032","157,958",11,https://linkedin.com/in/thederrickmitchell,https://www.youtube.com/c/derrickmitchell
49,https://www.udemy.com/how-to-set-up-a-wordpress-website-custom-domain-in-30-mins/,https://www.udemy.com/user/hokuho2/,Hoku Ho,4.2,"1,984","119,819",5,https://linkedin.com/in/hokuho,https://www.youtube.com/hokuho
50,https://www.udemy.com/javascript-intermediate-json-course/,https://www.udemy.com/user/edwin166/,Edwin Diaz,4.4,"131,760","872,928",46,https://linkedin.com/in/thisisedwindiaz,https://www.youtube.com/thewebsiteboyschool
51,https://www.udemy.com/websitelayouts/,https://www.udemy.com/user/josephparys/,Joe Parys,4.3,"72,941","932,018",88,https://linkedin.com/linkedin.com/in/joe-parys-7816799a,https://www.youtube.com/UCRukJuuBAdoHMTBIsFJAgvw
52,https://www.udemy.com/bootstrap-4/,https://www.udemy.com/user/bradhussey/,Brad Hussey,4.5,"64,815","600,394",12,https://linkedin.com/in/bradhussey,https://www.youtube.com/c/CreativeXcrew?sub_confirmation=1
53,https://www.udemy.com/covered-calls-income-strategy-for-stock-traders/,https://www.udemy.com/user/hariswaminathan/,Hari Swaminathan,4.5,"19,894","122,403",31,https://linkedin.com/in/hswami/en,https://www.youtube.com/user/OptionTiger
54,https://www.udemy.com/learn-piano-7-learn-chromatic-chords-chromatic-scale-run/,https://www.udemy.com/user/rosasuen/,Rosa Suen,4.5,"1,950","33,583",108,https://linkedin.com/in/pianorosa,https://www.youtube.com/PianoWithRosa/videos
55,https://www.udemy.com/learn-html5-canvas-for-beginners/,https://www.udemy.com/user/lars51/,Laurence Svekis,4.3,"61,336","960,625",326,https://linkedin.com/in/svekis,https://www.youtube.com/channel/UCgsZ8_79Eclct_VDoql_Dwg
56,https://www.udemy.com/the-docker-for-devops-course-from-development-to-production/,https://www.udemy.com/user/nick-janetakis/,Nick Janetakis,4.2,"5,508","36,462",5,https://linkedin.com/in/nickjj,https://www.youtube.com/c/nickjanetakis
57,https://www.udemy.com/learning-path-the-road-to-elasticsearch/,https://www.udemy.com/user/packtpublishing/,Packt Publishing,3.9,"53,528","417,861",902,https://linkedin.com/company/packt-publishing,https://www.youtube.com/packt1000
58,https://www.udemy.com/angular-on-rails-course/,https://www.udemy.com/user/jordanhudgens/,Jordan Hudgens,4.5,"24,890","99,207",16,https://linkedin.com/jordan-hudgens-37442b74,https://www.youtube.com/edutechional
59,https://www.udemy.com/cracked-wall-street-hacked-the-stock-market-top-secret/,https://www.udemy.com/user/davidvale2/,David Vale,4.1,55,"2,561",,https://linkedin.com/LinkedIn Profile,https://www.youtube.com/Youtube Profile
60,https://www.udemy.com/adobe-photoshop-cs6-para-iniciantes/,https://www.udemy.com/user/gilseone-rosa-de-moraes/,Gilseone Moraes,4.6,"2,667","36,352",23,https://linkedin.com/in/gilseone,https://www.youtube.com/c/programacaopratica/?sub_confirmation=1
61,https://www.udemy.com/build-and-deploy-a-lamp-server-on-aws/,https://www.udemy.com/user/vishukamble/,Vishu Kamble,4.3,800,"84,482",4,https://linkedin.com/in/vishukamble,https://www.youtube.com/c/SavageCamp
62,https://www.udemy.com/php-learn-to-upload-files-to-amazon-s3-and-use-cloudfront/,https://www.udemy.com/user/edwin166/,Edwin Diaz,4.4,"131,760","872,928",46,https://linkedin.com/in/thisisedwindiaz,https://www.youtube.com/thewebsiteboyschool
63,https://www.udemy.com/severson-financial-accounting-part-one/,https://www.udemy.com/user/chris-severson/,Chris Severson,4.5,186,"2,573",7,https://linkedin.com/https://us.linkedin.com/in/christopher-severson-933a447,https://www.youtube.com/https://www.youtube.com/user/MrAccounting101
64,https://www.udemy.com/amazon-s3-mastery/,https://www.udemy.com/user/stevedougherty/,Steve Dougherty,4.4,"1,514","12,110",5,https://linkedin.com/in/plrvideos,https://www.youtube.com/user/PLRVideoDirect
65,https://www.udemy.com/learn-the-viola-scales-and-fundamentals/,https://www.udemy.com/user/kathleenkromphardt/,Kathleen Stringplay,4.2,235,"2,328",4,https://linkedin.com/https://ca.linkedin.com/pub/kathleen-kromphardt/71/2a1/a13,https://www.youtube.com/Stringplay
66,https://www.udemy.com/amazing-graphic-design-for-beginners/,https://www.udemy.com/user/cjamuller/,CJA Muller,4.1,39,"1,287",3,https://linkedin.com/pub/connie-muller/1b/a3b/249,https://www.youtube.com/ConnieMuller
67,https://www.udemy.com/how-to-make-5000month-trading-penny-stocks/,https://www.udemy.com/user/mubarakshah2/,"Mubarak Shah, CPA",3.4,132,"47,155",,https://linkedin.com/in/mubarakshahcpa/,https://www.youtube.com/inpennystock
68,https://www.udemy.com/violin-basics/,https://www.udemy.com/user/anthony652/,Anthony Terrano,4.6,277,"10,133",2,https://linkedin.com/in/AnthonyTerrano,https://www.youtube.com/AnthonyTerrano
69,https://www.udemy.com/complete-guide-to-front-end-web-development-and-design/,https://www.udemy.com/user/lars51/,Laurence Svekis,4.3,"61,336","960,625",326,https://linkedin.com/in/svekis,https://www.youtube.com/channel/UCgsZ8_79Eclct_VDoql_Dwg
70,https://www.udemy.com/learn-adobe-illustrator-semi-automatic-mandalas-drawing/,https://www.udemy.com/user/andrey-bzhitskikh/,Andrey Bzhitskikh,4.4,590,"10,548",10,https://linkedin.com/andrewbzh,https://www.youtube.com/channel/UC3SdSsFLgFarf68dqJp5kCA
71,https://www.udemy.com/mql5-beginner-to-expert/,https://www.udemy.com/user/nurudeen-amedu/,Nurudeen Amedu,3.9,608,"9,631",5,https://linkedin.com/in/nurudeen-amedu/,https://www.youtube.com/channel/UCvF499ChQBnWb5ex162EiMg
72,https://www.udemy.com/web-development-tutorials/,https://www.udemy.com/user/marktrego/,Stone River eLearning,4.3,"92,961","982,734",495,https://linkedin.com/company/stone-river-elearning,https://www.youtube.com/stoneriverelearning
73,https://www.udemy.com/10-hand-coordination-transfer-chord-ballad-9-he-is-lord/,https://www.udemy.com/user/rosasuen/,Rosa Suen,4.5,"1,950","33,583",108,https://linkedin.com/in/pianorosa,https://www.youtube.com/PianoWithRosa/videos
74,https://www.udemy.com/nodejs-up-and-running/,https://www.udemy.com/user/geoffrey-emery/,Luke Angel,4,"24,299","166,774",30,https://linkedin.com/drlukeangel,https://www.youtube.com/drlukeangel
75,https://www.udemy.com/credit-control/,https://www.udemy.com/user/lisanewton3/,Lisa Newton,4,"4,058","21,582",110,https://linkedin.com/in/boogles/,https://www.youtube.com/mslisanewton
76,https://www.udemy.com/create-an-engaging-website-with-twitter-bootstrap/,https://www.udemy.com/user/chrisconverse2/,Chris Converse,4.3,"2,383","50,829",9,https://linkedin.com/in/chrisconverse,https://www.youtube.com/chrisconverse
77,https://www.udemy.com/canvas-image-maker-html5-javascript-project-from-scratch/,https://www.udemy.com/user/lars51/,Laurence Svekis,4.3,"61,336","960,625",326,https://linkedin.com/in/svekis,https://www.youtube.com/channel/UCgsZ8_79Eclct_VDoql_Dwg
78,https://www.udemy.com/introduction-to-bookkeeping-and-accounting/,https://www.udemy.com/user/paulaguilfoyle/,Paula Guilfoyle CPA,4.2,"11,748","144,869",27,https://linkedin.com/in/paulaguilfoyle/,https://www.youtube.com/channel/UCQEO63TKG1moSUxAu07cP-A
79,https://www.udemy.com/piano-runs-fills-4-c6-rolling-waves-waterfall-runs-songs-ending/,https://www.udemy.com/user/rosasuen/,Rosa Suen,4.5,"1,950","33,583",108,https://linkedin.com/in/pianorosa,https://www.youtube.com/PianoWithRosa/videos
80,https://www.udemy.com/financial-markets-a-to-z-for-beginners/,https://www.udemy.com/user/hariswaminathan/,Hari Swaminathan,4.5,"19,894","122,403",31,https://linkedin.com/in/hswami/en,https://www.youtube.com/user/OptionTiger
81,https://www.udemy.com/angular-styling-animations-for-angular-2-and-angular-4/,https://www.udemy.com/user/maximilian-schwarzmuller/,Maximilian Schwarzmüller,4.6,"986,290","2,645,729",59,https://linkedin.com/in/maximilian-schwarzmueller,https://www.youtube.com/c/academind
82,https://www.udemy.com/play-piano-4-improvise-on-popular-song-yesterday-chords/,https://www.udemy.com/user/rosasuen/,Rosa Suen,4.5,"1,950","33,583",108,https://linkedin.com/in/pianorosa,https://www.youtube.com/PianoWithRosa/videos
83,https://www.udemy.com/javascript-es6-tutorial/,https://www.udemy.com/user/sgslo/,Stephen Grider,4.6,"432,176","1,302,870",32,https://linkedin.com/pub/stephen-grider/20/a23/170,https://www.youtube.com/channel/UCQCaS3atWyNHEy5PkDXdpNg/
84,https://www.udemy.com/web-development-introduction-html-html5-course/,https://www.udemy.com/user/lars51/,Laurence Svekis,4.3,"61,336","960,625",326,https://linkedin.com/in/svekis,https://www.youtube.com/channel/UCgsZ8_79Eclct_VDoql_Dwg
85,https://www.udemy.com/aspnet-web-api-2-hands-on/,https://www.udemy.com/user/patrick-god/,Patrick God,4.4,"12,901","84,494",10,https://linkedin.com/in/patrickgod,https://www.youtube.com/channel/UCq8LldVrjqe61KQttZlLW8g?&ab_channel=PatrickGod
86,https://www.udemy.com/kids-coding-beginners-css/,https://www.udemy.com/user/johnbura/,John Bura,4.3,"24,499","525,652",254,https://linkedin.com/in/johnbura,https://www.youtube.com/channel/UCuO6A4QYBLgRMKj3DfD0qpQ
87,https://www.udemy.com/create-an-online-school-website-with-joomla/,https://www.udemy.com/user/mathewtamin/,Mathew Tamin,3.8,558,"15,109",24,https://linkedin.com/in/mathewtamin/,https://www.youtube.com/user/mathewtamin
88,https://www.udemy.com/forex-trading-system/,https://www.udemy.com/user/jefftompkins3/,Jeff Tompkins,4.5,"7,208","27,571",7,https://linkedin.com//in/jeff-tompkins-369b4610a/,https://www.youtube.com/channel/UCDantk75pJU7eNr7bwQxI4g
89,https://www.udemy.com/learn-etf-options-and-index-options-trading/,https://www.udemy.com/user/hariswaminathan/,Hari Swaminathan,4.5,"19,894","122,403",31,https://linkedin.com/in/hswami/en,https://www.youtube.com/user/OptionTiger
90,https://www.udemy.com/trading-stocks-successfully-introduction-to-stock-trading/,https://www.udemy.com/user/lucamoschini/,Luca Moschini,4.5,"9,960","160,096",23,https://linkedin.com/in/lucamoschini,https://www.youtube.com/c/sharpertrades
91,https://www.udemy.com/how-to-doodle-basics-and-lettering/,https://www.udemy.com/user/andrey-bzhitskikh/,Andrey Bzhitskikh,4.4,590,"10,548",10,https://linkedin.com/andrewbzh,https://www.youtube.com/channel/UC3SdSsFLgFarf68dqJp5kCA
92,https://www.udemy.com/jquery-essentials-core-training-for-dynamic-interactive-web/,https://www.udemy.com/user/lars51/,Laurence Svekis,4.3,"61,336","960,625",326,https://linkedin.com/in/svekis,https://www.youtube.com/channel/UCgsZ8_79Eclct_VDoql_Dwg
93,https://www.udemy.com/how-to-make-a-portfolio-website-for-freelancers-agencies/,https://www.udemy.com/user/hokuho2/,Hoku Ho,4.2,"1,984","119,819",5,https://linkedin.com/in/hokuho,https://www.youtube.com/hokuho
94,https://www.udemy.com/volume-analysis-basis/,https://www.udemy.com/user/hariswaminathan/,Hari Swaminathan,4.5,"19,894","122,403",31,https://linkedin.com/in/hswami/en,https://www.youtube.com/user/OptionTiger
95,https://www.udemy.com/bootstrap-4-responsive-web-design-and-development/,https://www.udemy.com/user/jeppeschaumburgjensen/,Jeppe Schaumburg Jensen,4.3,"1,697","34,430",8,https://linkedin.com/in/jeppeschaumburg/,https://www.youtube.com/channel/UCAzfEVamuIJFFDDspCrkWaw
96,https://www.udemy.com/laravel-deployment/,https://www.udemy.com/user/edwin166/,Edwin Diaz,4.4,"131,760","872,928",46,https://linkedin.com/in/thisisedwindiaz,https://www.youtube.com/thewebsiteboyschool
97,https://www.udemy.com/comprehensive-javascript-programming/,https://www.udemy.com/user/jordanhudgens/,Jordan Hudgens,4.5,"24,890","99,207",16,https://linkedin.com/jordan-hudgens-37442b74,https://www.youtube.com/edutechional
98,https://www.udemy.com/option-spreads-and-credit-spreads-bundle/,https://www.udemy.com/user/hariswaminathan/,Hari Swaminathan,4.5,"19,894","122,403",31,https://linkedin.com/in/hswami/en,https://www.youtube.com/user/OptionTiger
99,https://www.udemy.com/design-professional-web-banners-in-photoshop-for-beginners/,https://www.udemy.com/user/harshvardhanart/,Harsh Vardhan Art,3.9,921,"108,149",18,https://linkedin.com/harshvardhanart,https://www.youtube.com/user/harshvardhanroy
100,https://www.udemy.com/angularjs-jumpstart/,https://www.udemy.com/user/danwahlin/,Dan Wahlin,4.6,"4,187","25,579",2,https://linkedin.com/in/danwahlin,https://www.youtube.com/c/danwahlin
101,https://www.udemy.com/power-up-html5-with-javascript/,https://www.udemy.com/user/lars51/,Laurence Svekis,4.3,"61,336","960,625",326,https://linkedin.com/in/svekis,https://www.youtube.com/channel/UCgsZ8_79Eclct_VDoql_Dwg
102,https://www.udemy.com/learn-web-development-complete-step-by-step-guide-to-success/,https://www.udemy.com/user/lars51/,Laurence Svekis,4.3,"61,336","960,625",326,https://linkedin.com/in/svekis,https://www.youtube.com/channel/UCgsZ8_79Eclct_VDoql_Dwg
103,https://www.udemy.com/didgeridoo-beginners/,https://www.udemy.com/user/joncope/,Jonathan (Jonny) Cope,4.7,974,"4,761",8,https://linkedin.com/in/jonathan-cope/2a/baa/602/,https://www.youtube.com/JonnyMcBoingBoing
104,https://www.udemy.com/thecrowdfundedkit/,https://www.udemy.com/user/johnathanleow/,Johnathan Leow,3.9,31,"4,042",2,https://linkedin.com/in/johnathanleow,https://www.youtube.com/johnleowkl
105,https://www.udemy.com/credit-specific-analysis/,https://www.udemy.com/user/tanuja-yadav/,Tanuja Yadav,3.9,"2,886","30,901",14,https://linkedin.com/in/tanujayadavcfa,https://www.youtube.com/channel/UCM-2Mi2aC5rtZ2-In1BfFpw
106,https://www.udemy.com/accounting-made-easy-a-quick-guide-to-financial-accounting/,https://www.udemy.com/user/365careers/,365 Careers,4.5,"727,184","2,517,289",104,https://linkedin.com/in/nedkokrastev/,https://www.youtube.com/365datascience
107,https://www.udemy.com/refactoru-getting-started-as-a-web-developer/,https://www.udemy.com/user/refactoru/,RefactorU LLC,4.3,"6,778","157,181",12,https://linkedin.com/in/refactoru,https://www.youtube.com/refactoru
108,https://www.udemy.com/curso-de-maya-3d/,https://www.udemy.com/user/hugo-vasconcelos/,Hugo Vasconcelos,4.3,"31,294","68,986",337,https://linkedin.com/https://www.instagram.com/portal_hugo_cursos/,https://www.youtube.com/https://www.youtube.com/channel/UCawdQwVpEcbcVpEfwAmbx9Q
109,https://www.udemy.com/calendar-spreads/,https://www.udemy.com/user/hariswaminathan/,Hari Swaminathan,4.5,"19,894","122,403",31,https://linkedin.com/in/hswami/en,https://www.youtube.com/user/OptionTiger
110,https://www.udemy.com/the-music-coach-online-trombone-lesson-program/,https://www.udemy.com/user/todd-porter-2/,Todd Porter,4.3,"1,135","5,625",11,https://linkedin.com/https://www.linkedin.com/company/music-coach?trk=nav_account_sub_nav_company_admin,https://www.youtube.com/https://www.youtube.com/channel/UCWz-ZOL2t8S2vfUYo1kPeOQ
111,https://www.udemy.com/optiontrading/,https://www.udemy.com/user/viktor-neustroev/,Viktor Neustroev,4.1,721,"15,099",25,https://linkedin.com/comm/in/viktor-neustroev-04823965,https://www.youtube.com/channel/UC8190hmfe7PM4wA4mxm-42Q
112,https://www.udemy.com/ultimate-web/,https://www.udemy.com/user/mark-price-2/,Mark Wahlbeck,4.2,"49,706","307,955",15,https://linkedin.com/in/spentak,https://www.youtube.com//c/devslopes
